Algorithm,Fitness_Mean,Fitness_Std,Fitness_Max,Iters_Mean,Iters_Std,Time_ms_Mean,Convergence_Rate
PSO,100.25805587768555,0.1022999252112014,100.39928436279297,28.95,11.930947154354511,71.81433439254761,1.0
GA,100.29186134338379,0.11801225728250667,100.42669677734375,36.15,13.305168168798167,970.435380935669,1.0
DE,100.26736984252929,0.1025227284506363,100.42512512207031,30.3,12.605950975630519,768.933117389679,1.0
SA,100.14011039733887,0.0833901711710589,100.30250549316406,441.65,135.89344171077573,239.9304747581482,0.0
