trial,iteration,gbest_fitness
0,0,0.6725791822122114
0,1,0.6808473903941011
0,2,0.6842600228985792
0,3,0.6851545896170682
0,4,0.6851545896170682
0,5,0.6851927264383083
0,6,0.6852115438574946
0,7,0.6852115438574946
0,8,0.6852316024037098
0,9,0.6852316024037098
0,10,0.6852358051830924
0,11,0.6852358051830924
0,12,0.6852358051830924
0,13,0.6852358051830924
0,14,0.6852358051830924
0,15,0.6852358051830924
0,16,0.6852358051830924
0,17,0.6852394526613897
0,18,0.6852471901824718
0,19,0.6852471901824718
0,20,0.6852471901824718
0,21,0.6852498914835995
0,22,0.6852498914835995
0,23,0.6852500425906872
0,24,0.6852500425906872
0,25,0.6852500425906872
0,26,0.6852500425906872
0,27,0.6852500425906872
0,28,0.6852500425906872
0,29,0.6852500474335647
0,30,0.6852500474335647
0,31,0.6852500474335647
0,32,0.6852500474335647
0,33,0.6852500474335647
1,0,0.6732436273425896
1,1,0.6801450162449872
1,2,0.6844629207881189
1,3,0.6849778014956064
1,4,0.6849778014956064
1,5,0.6850294521333671
1,6,0.6851690454198068
1,7,0.6851690454198068
1,8,0.6851690454198068
1,9,0.6852357265329009
1,10,0.6852357265329009
1,11,0.6852357265329009
1,12,0.6852357265329009
1,13,0.6852357265329009
1,14,0.6852357265329009
1,15,0.6852357265329009
1,16,0.6852357265329009
1,17,0.6852475767279065
1,18,0.6852475767279065
1,19,0.6852475767279065
1,20,0.6852475767279065
1,21,0.6852475767279065
1,22,0.6852475767279065
1,23,0.6852475767279065
1,24,0.6852475767279065
1,25,0.6852475767279065
1,26,0.6852475767279065
1,27,0.6852493766950464
1,28,0.6852493766950464
1,29,0.6852493766950464
1,30,0.6852500348607099
1,31,0.6852500348607099
1,32,0.6852500348607099
1,33,0.6852500348607099
1,34,0.6852500533008968
1,35,0.6852500533008968
1,36,0.6852500533008968
1,37,0.6852500533008968
1,38,0.6852500533008968
1,39,0.6852500533008968
2,0,0.6633581445986316
2,1,0.6776938227260506
2,2,0.6813837590882575
2,3,0.6848693785978502
2,4,0.6848693785978502
2,5,0.685076822785104
2,6,0.685076822785104
2,7,0.6851020328490084
2,8,0.6851020328490084
2,9,0.6851020328490084
2,10,0.6851020328490084
2,11,0.6851020328490084
2,12,0.6851020328490084
2,13,0.6851020328490084
2,14,0.6852359346834963
2,15,0.6852407944643891
2,16,0.6852407944643891
2,17,0.6852407944643891
2,18,0.6852499659428394
2,19,0.6852499947672731
2,20,0.6852499947672731
2,21,0.6852499947672731
2,22,0.6852499947672731
2,23,0.6852499947672731
2,24,0.6852499947672731
2,25,0.6852499947672731
2,26,0.6852499947672731
2,27,0.6852499947672731
2,28,0.6852500526955373
2,29,0.6852500526955373
2,30,0.6852500526955373
3,0,0.6450873358505376
3,1,0.6749510665679371
3,2,0.6803615748206174
3,3,0.6851597056048012
3,4,0.6851597056048012
3,5,0.6851597056048012
3,6,0.6851974902929759
3,7,0.6851974902929759
3,8,0.6852178079796977
3,9,0.6852178079796977
3,10,0.6852235428778476
3,11,0.6852235428778476
3,12,0.6852235428778476
3,13,0.6852235428778476
3,14,0.6852458260742968
3,15,0.6852458260742968
3,16,0.6852458260742968
3,17,0.6852458260742968
3,18,0.6852458260742968
3,19,0.6852477631786859
3,20,0.6852477631786859
3,21,0.6852477631786859
3,22,0.6852477631786859
3,23,0.6852477631786859
3,24,0.6852477631786859
3,25,0.6852477631786859
3,26,0.6852477631786859
3,27,0.6852477631786859
3,28,0.6852477631786859
3,29,0.6852477631786859
3,30,0.6852477631786859
3,31,0.6852477631786859
4,0,0.6709453542989133
4,1,0.6783986625516808
4,2,0.6831880545498824
4,3,0.6851275515997803
4,4,0.6851275515997803
4,5,0.6851275515997803
4,6,0.6851275515997803
4,7,0.6851568958511597
4,8,0.6851568958511597
4,9,0.6851917567685267
4,10,0.685235802156294
4,11,0.6852440260373077
4,12,0.6852440260373077
4,13,0.6852486725220478
4,14,0.6852486725220478
4,15,0.6852486725220478
4,16,0.6852486725220478
4,17,0.6852486725220478
4,18,0.6852486725220478
4,19,0.6852486725220478
4,20,0.6852486725220478
4,21,0.6852486725220478
4,22,0.685249752018044
4,23,0.685249752018044
4,24,0.685249752018044
4,25,0.685249752018044
4,26,0.685249752018044
4,27,0.685249752018044
4,28,0.685249752018044
4,29,0.6852499887602425
4,30,0.6852499887602425
4,31,0.6852499887602425
4,32,0.6852499887602425
4,33,0.6852499887602425
4,34,0.6852499887602425
5,0,0.6636362084848976
5,1,0.6845071311363972
5,2,0.6845261052971726
5,3,0.6845362174114233
5,4,0.6850005930079168
5,5,0.6850005930079168
5,6,0.6851232394831276
5,7,0.6851232394831276
5,8,0.6851232394831276
5,9,0.6851411241827553
5,10,0.6851624569645173
5,11,0.6851624569645173
5,12,0.685215279625172
5,13,0.685215279625172
5,14,0.685215279625172
5,15,0.6852213551545537
5,16,0.6852213551545537
5,17,0.6852499806111699
5,18,0.6852499806111699
5,19,0.6852499806111699
5,20,0.6852499806111699
5,21,0.6852499806111699
5,22,0.6852500234520084
5,23,0.6852500234520084
5,24,0.685250047200734
5,25,0.685250047200734
5,26,0.685250047200734
5,27,0.685250047200734
5,28,0.685250047200734
5,29,0.685250047200734
6,0,0.656732596957591
6,1,0.6733910239556825
6,2,0.6847898025320863
6,3,0.6847898025320863
6,4,0.6848981219133383
6,5,0.6848981219133383
6,6,0.6848981219133383
6,7,0.6848981219133383
6,8,0.6848981219133383
6,9,0.6848981219133383
6,10,0.6848981219133383
6,11,0.6849388754716165
6,12,0.6849388754716165
6,13,0.6849388754716165
6,14,0.6849888934077716
6,15,0.6850857261823512
6,16,0.685093418767119
6,17,0.6851108875846511
6,18,0.6851220989389366
6,19,0.6851220989389366
6,20,0.6851220989389366
6,21,0.6851220989389366
6,22,0.6851388876115924
6,23,0.6851388876115924
6,24,0.6851407046685016
6,25,0.6851473799696214
6,26,0.6851553282955682
6,27,0.6851553282955682
6,28,0.6852130578154719
6,29,0.6852490806043169
6,30,0.6852490806043169
6,31,0.6852490806043169
6,32,0.6852491984864718
6,33,0.6852491984864718
6,34,0.6852491984864718
6,35,0.6852491984864718
6,36,0.6852491984864718
6,37,0.6852499129971511
6,38,0.685249939027617
6,39,0.6852499730674572
6,40,0.6852500704372323
6,41,0.6852500704372323
7,0,0.6703072005978576
7,1,0.6826453755864895
7,2,0.6851490955123699
7,3,0.6851490955123699
7,4,0.6851490955123699
7,5,0.6851490955123699
7,6,0.6851490955123699
7,7,0.6851762203754878
7,8,0.6851762203754878
7,9,0.6851762203754878
7,10,0.6851762203754878
7,11,0.6851762203754878
7,12,0.6852071539288408
7,13,0.6852071539288408
7,14,0.6852071539288408
7,15,0.6852071539288408
7,16,0.6852071539288408
7,17,0.6852071539288408
7,18,0.6852404726458735
7,19,0.6852486412761755
7,20,0.6852486412761755
7,21,0.6852486412761755
7,22,0.6852498522283531
7,23,0.6852498522283531
7,24,0.6852498522283531
7,25,0.6852500583766049
7,26,0.6852500583766049
7,27,0.6852500583766049
7,28,0.6852500583766049
7,29,0.6852500583766049
7,30,0.6852500583766049
7,31,0.6852500583766049
7,32,0.6852500583766049
7,33,0.6852500583766049
7,34,0.6852500583766049
8,0,0.6764170289831575
8,1,0.6769136994401014
8,2,0.6851575411180055
8,3,0.6851575411180055
8,4,0.6851927835749484
8,5,0.6851927835749484
8,6,0.6851927835749484
8,7,0.6852286035915858
8,8,0.6852286035915858
8,9,0.6852286035915858
8,10,0.6852286035915858
8,11,0.6852286035915858
8,12,0.6852286035915858
8,13,0.6852336373435354
8,14,0.6852336373435354
8,15,0.6852500013796633
8,16,0.6852500013796633
8,17,0.6852500013796633
8,18,0.6852500013796633
8,19,0.6852500013796633
8,20,0.6852500013796633
8,21,0.6852500013796633
8,22,0.6852500013796633
8,23,0.6852500013796633
8,24,0.6852500013796633
8,25,0.6852500013796633
8,26,0.6852500013796633
8,27,0.6852500013796633
9,0,0.670849028227484
9,1,0.6836535927629119
9,2,0.6836535927629119
9,3,0.6846792112825459
9,4,0.6850100749427473
9,5,0.6850100749427473
9,6,0.6850501619068926
9,7,0.6850501619068926
9,8,0.6851331252394265
9,9,0.6851892603350824
9,10,0.6851892603350824
9,11,0.6851892603350824
9,12,0.6851892603350824
9,13,0.6852490967394805
9,14,0.6852490967394805
9,15,0.6852490967394805
9,16,0.6852490967394805
9,17,0.6852490967394805
9,18,0.6852490967394805
9,19,0.6852490967394805
9,20,0.6852490967394805
9,21,0.6852490967394805
9,22,0.6852490967394805
9,23,0.6852490967394805
9,24,0.6852490967394805
9,25,0.6852490967394805
10,0,0.6694264839628067
10,1,0.6812485564755296
10,2,0.6850281548941529
10,3,0.6850281548941529
10,4,0.6850281548941529
10,5,0.6850281548941529
10,6,0.6850408778315431
10,7,0.6850408778315431
10,8,0.6850888098845279
10,9,0.6850888098845279
10,10,0.6850888098845279
10,11,0.6851324782496339
10,12,0.6851324782496339
10,13,0.6851324782496339
10,14,0.6851324782496339
10,15,0.6851733542302644
10,16,0.6851733542302644
10,17,0.6851733542302644
10,18,0.6852331934286303
10,19,0.6852331934286303
10,20,0.685247337424571
10,21,0.685247337424571
10,22,0.685247337424571
10,23,0.685247337424571
10,24,0.6852482563139891
10,25,0.6852482563139891
10,26,0.6852482563139891
10,27,0.6852482563139891
10,28,0.6852488731522134
10,29,0.6852488731522134
10,30,0.6852488731522134
10,31,0.6852494541345185
10,32,0.6852494541345185
11,0,0.6687952781326943
11,1,0.6847007800148821
11,2,0.6847007800148821
11,3,0.6847007800148821
11,4,0.6848454302897699
11,5,0.6848454302897699
11,6,0.6848535576159155
11,7,0.6848535576159155
11,8,0.6848535576159155
11,9,0.6849984181834406
11,10,0.6849984181834406
11,11,0.6850008602043635
11,12,0.6850008602043635
11,13,0.6850220395972973
11,14,0.6850220395972973
11,15,0.6850220395972973
11,16,0.6850220395972973
11,17,0.6850528943607604
11,18,0.6850528943607604
11,19,0.6850528943607604
11,20,0.6850528943607604
11,21,0.6850528943607604
11,22,0.6850963232362665
11,23,0.685131187250281
11,24,0.6851731503171867
11,25,0.6851731503171867
11,26,0.6851778790144271
11,27,0.6852282575586831
11,28,0.6852315589575119
11,29,0.6852315589575119
11,30,0.6852315589575119
11,31,0.6852357035757995
11,32,0.6852401155302322
11,33,0.685246843334662
11,34,0.6852499559311217
11,35,0.6852499559311217
11,36,0.6852499559311217
11,37,0.6852499559311217
11,38,0.6852499559311217
11,39,0.6852499559311217
11,40,0.6852499559311217
11,41,0.6852499559311217
11,42,0.6852499559311217
11,43,0.6852499559311217
11,44,0.6852500011933988
11,45,0.6852500723464435
11,46,0.6852500834757483
12,0,0.6658802465928966
12,1,0.6795104670593536
12,2,0.6841804235497511
12,3,0.6844962611584015
12,4,0.6850559498904294
12,5,0.6851465353531784
12,6,0.6851465353531784
12,7,0.6851521747441983
12,8,0.6851910425139612
12,9,0.6851910425139612
12,10,0.6851910425139612
12,11,0.6851910425139612
12,12,0.6851910425139612
12,13,0.6851910425139612
12,14,0.6851910425139612
