trial_seed,gbest_fitness,n_iter,converged,speed_kmh,wing_angle_deg,drs_active,downforce_n,drag_n
4200,0.8939307158269345,34,True,300.0,20.0,0.0,4454.215996389115,18.0
4300,0.8939286202347263,22,True,300.0,20.0,0.0,4458.16415940523,18.0
4400,0.8939306976661443,29,True,300.0,20.0,0.0,4454.661721922822,18.0
4500,0.8939307439994424,46,True,300.0,20.0,0.0,4453.500193731191,18.0
4600,0.8939307469098254,17,True,300.0,20.0,0.0,4453.976460786582,18.0
4700,0.8939307788076236,29,True,300.0,20.0,0.0,4454.038039626656,18.0
4800,0.8939307130329668,34,True,300.0,20.0,0.0,4454.694791788003,18.0
4900,0.8939306876544266,31,True,300.0,20.0,0.0,4453.760577169964,18.0
5000,0.8939301267654061,25,True,300.0,20.0,0.0,4451.809020987511,18.0
5100,0.8939307355011239,35,True,300.0,20.0,0.0,4454.258083521005,18.0
5200,0.8939307153612732,32,True,300.0,20.0,0.0,4453.858124056347,18.0
5300,0.8939307607632487,39,True,300.0,20.0,0.0,4453.887127952411,18.0
5400,0.8939307740345954,29,True,300.0,20.0,0.0,4453.776255023746,18.0
5500,0.8939307346862166,33,True,300.0,20.0,0.0,4453.402583784053,18.0
5600,0.8939307167582571,41,True,300.0,20.0,0.0,4454.512245049959,18.0
