trial,iteration,gbest_fitness
0,0,99.53683419153094
0,1,99.55435558222234
0,2,99.64926911052316
0,3,99.65860820375383
0,4,99.7195816715248
0,5,99.74331367411651
0,6,99.75693993619643
0,7,99.75693993619643
0,8,99.76132336887531
0,9,99.78077088017017
0,10,99.78077088017017
0,11,99.78431854979135
0,12,99.78794162161648
0,13,99.78794162161648
0,14,99.78794162161648
0,15,99.78794162161648
0,16,99.78795736678876
0,17,99.78795736678876
0,18,99.7880058712326
0,19,99.7880058712326
0,20,99.7880058712326
0,21,99.7880058712326
0,22,99.7880058712326
0,23,99.78800643584691
0,24,99.78800797252916
0,25,99.78801140096039
0,26,99.78801247780211
0,27,99.78801409597509
0,28,99.78801670949906
0,29,99.78801670949906
0,30,99.78801670949906
0,31,99.78801670949906
0,32,99.78801670949906
0,33,99.78801670949906
0,34,99.78802209952846
0,35,99.78802209952846
0,36,99.78802209952846
0,37,99.78802209952846
0,38,99.78802209952846
0,39,99.78802209952846
0,40,99.78802209952846
0,41,99.78802209952846
0,42,99.78802209952846
0,43,99.78802209952846
0,44,99.78802209952846
0,45,99.78802209952846
0,46,99.78802209952846
1,0,99.54541283659637
1,1,99.60727891884744
1,2,99.68634971883148
1,3,99.71933530177921
1,4,99.7240585158579
1,5,99.73774395184591
1,6,99.74616449908353
1,7,99.76458284654655
1,8,99.77778571192175
1,9,99.78393624769524
1,10,99.78393624769524
1,11,99.78393624769524
1,12,99.7878844907973
1,13,99.7879848931916
1,14,99.7879848931916
1,15,99.7879848931916
1,16,99.7879848931916
1,17,99.78800070239231
1,18,99.78800070239231
1,19,99.78800070239231
1,20,99.7880014940165
1,21,99.7880014940165
1,22,99.7880014940165
1,23,99.78801280376501
1,24,99.78801534161903
1,25,99.78801534161903
1,26,99.78801534161903
1,27,99.78801781544462
1,28,99.78801781544462
1,29,99.78801781544462
1,30,99.78801781544462
1,31,99.78801781544462
1,32,99.78801781544462
1,33,99.78801781544462
1,34,99.78801781544462
1,35,99.78801781544462
1,36,99.78801781544462
1,37,99.78801890392788
1,38,99.78801890392788
1,39,99.78801890392788
1,40,99.78801890392788
1,41,99.78801890392788
1,42,99.78802028344944
1,43,99.78802028344944
1,44,99.78802028344944
1,45,99.78802028344944
1,46,99.78802028344944
1,47,99.78802028344944
1,48,99.78802028344944
1,49,99.78802028344944
1,50,99.78802028344944
1,51,99.78802028344944
1,52,99.78802028344944
1,53,99.78802028344944
1,54,99.78802045807242
2,0,99.47318350896239
2,1,99.57043817266822
2,2,99.68325595837086
2,3,99.71499908715487
2,4,99.73291223868728
2,5,99.76380496518686
2,6,99.78432948119007
2,7,99.78436201345176
2,8,99.78783912374638
2,9,99.78794629569165
2,10,99.78794629569165
2,11,99.78798057418317
2,12,99.78798057418317
2,13,99.78798057418317
2,14,99.78798057418317
2,15,99.78800477110781
2,16,99.78800477110781
2,17,99.78800818207674
2,18,99.78800818207674
2,19,99.78801192482933
2,20,99.78801510878839
2,21,99.78801510878839
2,22,99.78802049881779
2,23,99.78802049881779
2,24,99.78802049881779
2,25,99.78802049881779
2,26,99.78802052210085
2,27,99.78802052210085
2,28,99.78802052210085
2,29,99.78802052210085
2,30,99.78802052210085
2,31,99.78802052210085
2,32,99.78802052210085
2,33,99.78802052210085
2,34,99.78802348487079
2,35,99.78802348487079
2,36,99.78802348487079
2,37,99.78802348487079
2,38,99.78802348487079
2,39,99.78802348487079
2,40,99.78802348487079
2,41,99.78802348487079
2,42,99.78802348487079
2,43,99.78802348487079
2,44,99.78802348487079
2,45,99.78802348487079
2,46,99.78802348487079
3,0,99.60016524419188
3,1,99.60016524419188
3,2,99.71361567731947
3,3,99.74884685361758
3,4,99.74884685361758
3,5,99.74884685361758
3,6,99.75788799929433
3,7,99.76530732237734
3,8,99.78384478599764
3,9,99.78384478599764
3,10,99.78465148014948
3,11,99.78799985838123
3,12,99.78801558027044
3,13,99.78801558027044
3,14,99.78801558027044
3,15,99.78801558027044
3,16,99.78801558027044
3,17,99.78801558027044
3,18,99.78801558027044
3,19,99.78801558027044
3,20,99.78801558027044
3,21,99.78801558027044
3,22,99.78801558027044
3,23,99.78801558027044
3,24,99.78801558027044
4,0,99.55644909059629
4,1,99.5978846680373
4,2,99.65303010540083
4,3,99.65303010540083
4,4,99.67943506781012
4,5,99.71225052140653
4,6,99.7771549737081
