trial_seed,gbest_fitness,n_iter,converged,speed_kmh,wing_angle_deg,drs_active,downforce_n,drag_n
4200,99.8204680508934,32,True,167.4554402501968,15.0,0.0,891.263078542038,78.41893235260275
4300,99.82045334763825,80,False,165.7399458072146,15.0,0.0,953.4024271660685,73.03111719169432
4400,99.82047284720466,30,True,154.97732079873575,15.0,0.0,1457.6470108347228,33.13739615177985
4500,99.8206524644047,80,False,154.45260712953387,15.0,0.0,1391.0992827243874,36.25477943544049
4600,99.82042021583766,42,True,169.48017401126702,15.0,0.0,734.8356526189203,90.17203378074048
4700,99.82044553617015,80,False,168.57588918849814,15.0,0.0,809.3851455566415,84.70784303109626
4800,99.82022964395583,36,True,152.84101224165968,15.0,0.0,1175.214852849288,45.29943196261905
4900,99.81912550283596,38,True,154.81819442246504,15.0,0.0,0.0,112.56595985478339
5000,99.81906403554603,30,True,154.82545879633432,15.0,0.0,0.0,113.31662810734251
5100,99.82038554735482,41,True,168.15385265718442,15.0,0.0,965.8531510440828,75.98568894492524
5200,99.82065102085471,80,False,154.63037898021764,15.0,0.0,1418.2670076609352,35.1617887760195
5300,99.8202889924869,36,True,164.95269077100878,15.0,0.0,873.6573137435762,76.85768376005011
5400,99.82061289483681,80,False,154.47473277998878,15.0,0.0,1415.274333487331,34.7535877255479
5500,99.82034108834341,34,True,185.6365265583966,15.0,0.0,673.3991726079736,120.0
5600,99.82039582682773,34,True,169.84552375460822,15.0,0.0,789.3046968573893,87.77020792096087
